"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 10 08:15:24 GMT 2024","Sat Aug 10 08:15:24 GMT 2024","432","chromium","e2e.spec.ts","Login page validations","","","Login button is visible",""
"passed","Sat Aug 10 08:15:35 GMT 2024","Sat Aug 10 08:15:36 GMT 2024","908","firefox","e2e.spec.ts","Products page validations","","","Product description is visible on product page",""
"passed","Sat Aug 10 08:15:38 GMT 2024","Sat Aug 10 08:15:38 GMT 2024","865","firefox","e2e.spec.ts","E2E tests","","","After adding a product to the cart, the user will be able to see the number one on the cart icon",""
"passed","Sat Aug 10 08:15:30 GMT 2024","Sat Aug 10 08:15:31 GMT 2024","1484","firefox","e2e.spec.ts","Login page validations","","","Username field is visible",""
"passed","Sat Aug 10 08:15:26 GMT 2024","Sat Aug 10 08:15:26 GMT 2024","590","chromium","e2e.spec.ts","Products page validations","","","Product price is visible on product page",""
"passed","Sat Aug 10 08:15:47 GMT 2024","Sat Aug 10 08:15:48 GMT 2024","807","webkit","e2e.spec.ts","E2E tests","","","User can login on the website",""
"passed","Sat Aug 10 08:15:27 GMT 2024","Sat Aug 10 08:15:28 GMT 2024","661","chromium","e2e.spec.ts","Cart Page Validations","","","Description column in the cart is visible",""
"passed","Sat Aug 10 08:15:47 GMT 2024","Sat Aug 10 08:15:48 GMT 2024","1064","webkit","e2e.spec.ts","Cart Page Validations","","","Checkout button in the cart is visible",""
"passed","Sat Aug 10 08:15:26 GMT 2024","Sat Aug 10 08:15:26 GMT 2024","663","chromium","e2e.spec.ts","Products page validations","","","Product picture is visible on product page",""
"passed","Sat Aug 10 08:15:45 GMT 2024","Sat Aug 10 08:15:46 GMT 2024","1028","webkit","e2e.spec.ts","Cart Page Validations","","","QTY column in the cart is visible",""
"passed","Sat Aug 10 08:15:46 GMT 2024","Sat Aug 10 08:15:47 GMT 2024","895","webkit","e2e.spec.ts","Cart Page Validations","","","Description column in the cart is visible",""
"passed","Sat Aug 10 08:15:33 GMT 2024","Sat Aug 10 08:15:34 GMT 2024","716","firefox","e2e.spec.ts","Products page validations","","","Product name is visible on product page",""
"passed","Sat Aug 10 08:15:26 GMT 2024","Sat Aug 10 08:15:27 GMT 2024","595","chromium","e2e.spec.ts","Products page validations","","","Cart button is visible on product page",""
"passed","Sat Aug 10 08:15:43 GMT 2024","Sat Aug 10 08:15:44 GMT 2024","973","webkit","e2e.spec.ts","Products page validations","","","Product picture is visible on product page",""
"passed","Sat Aug 10 08:15:29 GMT 2024","Sat Aug 10 08:15:30 GMT 2024","806","chromium","e2e.spec.ts","E2E tests","","","User is able to choose a product and buy it",""
"passed","Sat Aug 10 08:15:29 GMT 2024","Sat Aug 10 08:15:29 GMT 2024","816","chromium","e2e.spec.ts","E2E tests","","","After adding six products to the cart, the user will be able to see the number six on the cart icon",""
"passed","Sat Aug 10 08:15:48 GMT 2024","Sat Aug 10 08:15:49 GMT 2024","1283","webkit","e2e.spec.ts","E2E tests","","","After adding six products to the cart, the user will be able to see the number six on the cart icon",""
"passed","Sat Aug 10 08:15:27 GMT 2024","Sat Aug 10 08:15:28 GMT 2024","648","chromium","e2e.spec.ts","Cart Page Validations","","","Continue shopping button in the cart is visible",""
"passed","Sat Aug 10 08:15:43 GMT 2024","Sat Aug 10 08:15:44 GMT 2024","979","webkit","e2e.spec.ts","Products page validations","","","Product name is visible on product page",""
"passed","Sat Aug 10 08:15:46 GMT 2024","Sat Aug 10 08:15:47 GMT 2024","956","webkit","e2e.spec.ts","Cart Page Validations","","","Continue shopping button in the cart is visible",""
"passed","Sat Aug 10 08:15:22 GMT 2024","Sat Aug 10 08:15:23 GMT 2024","511","chromium","e2e.spec.ts","Login page validations","","","Username field is visible",""
"passed","Sat Aug 10 08:15:25 GMT 2024","Sat Aug 10 08:15:26 GMT 2024","562","chromium","e2e.spec.ts","Products page validations","","","Product name is visible on product page",""
"passed","Sat Aug 10 08:15:36 GMT 2024","Sat Aug 10 08:15:36 GMT 2024","824","firefox","e2e.spec.ts","Cart Page Validations","","","QTY column in the cart is visible",""
"passed","Sat Aug 10 08:15:48 GMT 2024","Sat Aug 10 08:15:49 GMT 2024","986","webkit","e2e.spec.ts","E2E tests","","","After adding a product to the cart, the user will be able to see the number one on the cart icon",""
"passed","Sat Aug 10 08:15:45 GMT 2024","Sat Aug 10 08:15:46 GMT 2024","1000","webkit","e2e.spec.ts","Products page validations","","","Cart button is visible on product page",""
"passed","Sat Aug 10 08:15:44 GMT 2024","Sat Aug 10 08:15:45 GMT 2024","1118","webkit","e2e.spec.ts","Products page validations","","","Product price is visible on product page",""
"passed","Sat Aug 10 08:15:26 GMT 2024","Sat Aug 10 08:15:27 GMT 2024","595","chromium","e2e.spec.ts","Products page validations","","","Product description is visible on product page",""
"passed","Sat Aug 10 08:15:34 GMT 2024","Sat Aug 10 08:15:35 GMT 2024","933","firefox","e2e.spec.ts","Products page validations","","","Product price is visible on product page",""
"passed","Sat Aug 10 08:15:38 GMT 2024","Sat Aug 10 08:15:39 GMT 2024","1089","firefox","e2e.spec.ts","E2E tests","","","User is able to choose a product and buy it",""
"passed","Sat Aug 10 08:15:32 GMT 2024","Sat Aug 10 08:15:34 GMT 2024","1813","firefox","e2e.spec.ts","Products page validations","","","Validate that Log Out button is visible",""
"passed","Sat Aug 10 08:15:32 GMT 2024","Sat Aug 10 08:15:32 GMT 2024","523","firefox","e2e.spec.ts","Login page validations","","","Login button is visible",""
"passed","Sat Aug 10 08:15:28 GMT 2024","Sat Aug 10 08:15:29 GMT 2024","548","chromium","e2e.spec.ts","E2E tests","","","User can login on the website",""
"passed","Sat Aug 10 08:15:22 GMT 2024","Sat Aug 10 08:15:23 GMT 2024","523","chromium","e2e.spec.ts","Login page validations","","","Password field is visible",""
"passed","Sat Aug 10 08:15:42 GMT 2024","Sat Aug 10 08:15:43 GMT 2024","984","webkit","e2e.spec.ts","Products page validations","","","Validate that products Cart is visible",""
"passed","Sat Aug 10 08:15:34 GMT 2024","Sat Aug 10 08:15:35 GMT 2024","857","firefox","e2e.spec.ts","Products page validations","","","Product picture is visible on product page",""
"passed","Sat Aug 10 08:15:24 GMT 2024","Sat Aug 10 08:15:25 GMT 2024","596","chromium","e2e.spec.ts","Products page validations","","","Validate that products Cart is visible",""
"passed","Sat Aug 10 08:15:30 GMT 2024","Sat Aug 10 08:15:32 GMT 2024","1514","firefox","e2e.spec.ts","Login page validations","","","Password field is visible",""
"passed","Sat Aug 10 08:15:41 GMT 2024","Sat Aug 10 08:15:41 GMT 2024","766","webkit","e2e.spec.ts","Login page validations","","","Password field is visible",""
"passed","Sat Aug 10 08:15:41 GMT 2024","Sat Aug 10 08:15:42 GMT 2024","680","webkit","e2e.spec.ts","Login page validations","","","Login button is visible",""
"passed","Sat Aug 10 08:15:28 GMT 2024","Sat Aug 10 08:15:28 GMT 2024","577","chromium","e2e.spec.ts","Cart Page Validations","","","Checkout button in the cart is visible",""
"passed","Sat Aug 10 08:15:36 GMT 2024","Sat Aug 10 08:15:37 GMT 2024","762","firefox","e2e.spec.ts","Cart Page Validations","","","Continue shopping button in the cart is visible",""
"passed","Sat Aug 10 08:15:36 GMT 2024","Sat Aug 10 08:15:37 GMT 2024","880","firefox","e2e.spec.ts","Cart Page Validations","","","Description column in the cart is visible",""
"passed","Sat Aug 10 08:15:49 GMT 2024","Sat Aug 10 08:15:50 GMT 2024","1155","webkit","e2e.spec.ts","E2E tests","","","User is able to choose a product and buy it",""
"passed","Sat Aug 10 08:15:28 GMT 2024","Sat Aug 10 08:15:29 GMT 2024","599","chromium","e2e.spec.ts","E2E tests","","","After adding a product to the cart, the user will be able to see the number one on the cart icon",""
"passed","Sat Aug 10 08:15:37 GMT 2024","Sat Aug 10 08:15:38 GMT 2024","927","firefox","e2e.spec.ts","Cart Page Validations","","","Checkout button in the cart is visible",""
"passed","Sat Aug 10 08:15:35 GMT 2024","Sat Aug 10 08:15:36 GMT 2024","835","firefox","e2e.spec.ts","Products page validations","","","Cart button is visible on product page",""
"passed","Sat Aug 10 08:15:44 GMT 2024","Sat Aug 10 08:15:45 GMT 2024","1015","webkit","e2e.spec.ts","Products page validations","","","Product description is visible on product page",""
"passed","Sat Aug 10 08:15:32 GMT 2024","Sat Aug 10 08:15:33 GMT 2024","744","firefox","e2e.spec.ts","Products page validations","","","Validate that products Cart is visible",""
"passed","Sat Aug 10 08:15:27 GMT 2024","Sat Aug 10 08:15:27 GMT 2024","661","chromium","e2e.spec.ts","Cart Page Validations","","","QTY column in the cart is visible",""
"passed","Sat Aug 10 08:15:38 GMT 2024","Sat Aug 10 08:15:39 GMT 2024","1176","firefox","e2e.spec.ts","E2E tests","","","After adding six products to the cart, the user will be able to see the number six on the cart icon",""
