"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 07 07:41:47 GMT 2024","Wed Aug 07 07:41:48 GMT 2024","574","chromium","e2e.spec.ts","Products page validations","","","Product description is visible on product page",""
"passed","Wed Aug 07 07:41:49 GMT 2024","Wed Aug 07 07:41:50 GMT 2024","551","chromium","e2e.spec.ts","E2E tests","","","After adding a product to the cart, the user will be able to see the number one on the cart icon",""
"passed","Wed Aug 07 07:41:46 GMT 2024","Wed Aug 07 07:41:47 GMT 2024","1472","chromium","e2e.spec.ts","Products page validations","","","Validate that Log Out button is visible",""
"passed","Wed Aug 07 07:41:50 GMT 2024","Wed Aug 07 07:41:51 GMT 2024","669","chromium","e2e.spec.ts","E2E tests","","","User is able to choose a product and buy it",""
"passed","Wed Aug 07 07:41:48 GMT 2024","Wed Aug 07 07:41:48 GMT 2024","593","chromium","e2e.spec.ts","Products page validations","","","Cart button is visible on product page",""
"passed","Wed Aug 07 07:41:46 GMT 2024","Wed Aug 07 07:41:47 GMT 2024","436","chromium","e2e.spec.ts","Products page validations","","","Product name is visible on product page",""
"passed","Wed Aug 07 07:41:48 GMT 2024","Wed Aug 07 07:41:49 GMT 2024","576","chromium","e2e.spec.ts","Cart Page Validations","","","Continue shopping button in the cart is visible",""
"passed","Wed Aug 07 07:41:49 GMT 2024","Wed Aug 07 07:41:49 GMT 2024","523","chromium","e2e.spec.ts","Cart Page Validations","","","Checkout button in the cart is visible",""
"passed","Wed Aug 07 07:41:45 GMT 2024","Wed Aug 07 07:41:46 GMT 2024","304","chromium","e2e.spec.ts","Login page validations","","","Login button is visible",""
"passed","Wed Aug 07 07:41:48 GMT 2024","Wed Aug 07 07:41:48 GMT 2024","578","chromium","e2e.spec.ts","Cart Page Validations","","","QTY column in the cart is visible",""
"passed","Wed Aug 07 07:41:44 GMT 2024","Wed Aug 07 07:41:45 GMT 2024","373","chromium","e2e.spec.ts","Login page validations","","","Password field is visible",""
"passed","Wed Aug 07 07:41:44 GMT 2024","Wed Aug 07 07:41:45 GMT 2024","377","chromium","e2e.spec.ts","Login page validations","","","Username field is visible",""
"passed","Wed Aug 07 07:41:47 GMT 2024","Wed Aug 07 07:41:47 GMT 2024","468","chromium","e2e.spec.ts","Products page validations","","","Product picture is visible on product page",""
"passed","Wed Aug 07 07:41:47 GMT 2024","Wed Aug 07 07:41:48 GMT 2024","621","chromium","e2e.spec.ts","Products page validations","","","Product price is visible on product page",""
"passed","Wed Aug 07 07:41:48 GMT 2024","Wed Aug 07 07:41:49 GMT 2024","582","chromium","e2e.spec.ts","Cart Page Validations","","","Description column in the cart is visible",""
"passed","Wed Aug 07 07:41:46 GMT 2024","Wed Aug 07 07:41:46 GMT 2024","461","chromium","e2e.spec.ts","Products page validations","","","Validate that products Cart is visible",""
"passed","Wed Aug 07 07:41:49 GMT 2024","Wed Aug 07 07:41:50 GMT 2024","742","chromium","e2e.spec.ts","E2E tests","","","After adding six products to the cart, the user will be able to see the number six on the cart icon",""
"passed","Wed Aug 07 07:41:49 GMT 2024","Wed Aug 07 07:41:49 GMT 2024","498","chromium","e2e.spec.ts","E2E tests","","","User can login on the website",""
