"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 07 07:44:58 GMT 2024","Wed Aug 07 07:44:58 GMT 2024","857","webkit","e2e.spec.ts","Login page validations","","","Password field is visible",""
"passed","Wed Aug 07 07:44:54 GMT 2024","Wed Aug 07 07:44:55 GMT 2024","826","firefox","e2e.spec.ts","E2E tests","","","After adding a product to the cart, the user will be able to see the number one on the cart icon",""
"passed","Wed Aug 07 07:44:42 GMT 2024","Wed Aug 07 07:44:42 GMT 2024","484","chromium","e2e.spec.ts","Products page validations","","","Validate that products Cart is visible",""
"passed","Wed Aug 07 07:44:53 GMT 2024","Wed Aug 07 07:44:53 GMT 2024","836","firefox","e2e.spec.ts","Cart Page Validations","","","QTY column in the cart is visible",""
"passed","Wed Aug 07 07:45:01 GMT 2024","Wed Aug 07 07:45:02 GMT 2024","1062","webkit","e2e.spec.ts","Products page validations","","","Product description is visible on product page",""
"passed","Wed Aug 07 07:44:45 GMT 2024","Wed Aug 07 07:44:46 GMT 2024","532","chromium","e2e.spec.ts","E2E tests","","","User can login on the website",""
"passed","Wed Aug 07 07:44:44 GMT 2024","Wed Aug 07 07:44:45 GMT 2024","547","chromium","e2e.spec.ts","Cart Page Validations","","","QTY column in the cart is visible",""
"passed","Wed Aug 07 07:44:51 GMT 2024","Wed Aug 07 07:44:52 GMT 2024","753","firefox","e2e.spec.ts","Products page validations","","","Product price is visible on product page",""
"passed","Wed Aug 07 07:44:51 GMT 2024","Wed Aug 07 07:44:52 GMT 2024","797","firefox","e2e.spec.ts","Products page validations","","","Product picture is visible on product page",""
"passed","Wed Aug 07 07:44:42 GMT 2024","Wed Aug 07 07:44:43 GMT 2024","1493","chromium","e2e.spec.ts","Products page validations","","","Validate that Log Out button is visible",""
"passed","Wed Aug 07 07:44:50 GMT 2024","Wed Aug 07 07:44:51 GMT 2024","639","firefox","e2e.spec.ts","Products page validations","","","Product name is visible on product page",""
"passed","Wed Aug 07 07:44:52 GMT 2024","Wed Aug 07 07:44:53 GMT 2024","879","firefox","e2e.spec.ts","Products page validations","","","Product description is visible on product page",""
"passed","Wed Aug 07 07:45:01 GMT 2024","Wed Aug 07 07:45:02 GMT 2024","949","webkit","e2e.spec.ts","Products page validations","","","Product price is visible on product page",""
"passed","Wed Aug 07 07:44:44 GMT 2024","Wed Aug 07 07:44:45 GMT 2024","595","chromium","e2e.spec.ts","Cart Page Validations","","","Description column in the cart is visible",""
"passed","Wed Aug 07 07:44:43 GMT 2024","Wed Aug 07 07:44:43 GMT 2024","470","chromium","e2e.spec.ts","Products page validations","","","Product picture is visible on product page",""
"passed","Wed Aug 07 07:44:59 GMT 2024","Wed Aug 07 07:45:00 GMT 2024","1478","webkit","e2e.spec.ts","Products page validations","","","Validate that Log Out button is visible",""
"passed","Wed Aug 07 07:44:45 GMT 2024","Wed Aug 07 07:44:46 GMT 2024","572","chromium","e2e.spec.ts","Cart Page Validations","","","Checkout button in the cart is visible",""
"passed","Wed Aug 07 07:45:04 GMT 2024","Wed Aug 07 07:45:05 GMT 2024","762","webkit","e2e.spec.ts","E2E tests","","","User can login on the website",""
"passed","Wed Aug 07 07:44:46 GMT 2024","Wed Aug 07 07:44:46 GMT 2024","577","chromium","e2e.spec.ts","E2E tests","","","After adding a product to the cart, the user will be able to see the number one on the cart icon",""
"passed","Wed Aug 07 07:44:40 GMT 2024","Wed Aug 07 07:44:41 GMT 2024","395","chromium","e2e.spec.ts","Login page validations","","","Username field is visible",""
"passed","Wed Aug 07 07:44:55 GMT 2024","Wed Aug 07 07:44:56 GMT 2024","1247","firefox","e2e.spec.ts","E2E tests","","","User is able to choose a product and buy it",""
"passed","Wed Aug 07 07:45:02 GMT 2024","Wed Aug 07 07:45:03 GMT 2024","997","webkit","e2e.spec.ts","Cart Page Validations","","","QTY column in the cart is visible",""
"passed","Wed Aug 07 07:44:59 GMT 2024","Wed Aug 07 07:45:00 GMT 2024","934","webkit","e2e.spec.ts","Products page validations","","","Validate that products Cart is visible",""
