"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1912","Password field is visible","firefox","Tue Aug 06 14:51:31 EEST 2024","passed","Tue Aug 06 14:51:33 EEST 2024","Login page validations","e2e.spec.ts","",""
"","816","Password field is visible","webkit","Tue Aug 06 14:51:41 EEST 2024","passed","Tue Aug 06 14:51:42 EEST 2024","Login page validations","e2e.spec.ts","",""
"","685","Username field is visible","chromium","Tue Aug 06 14:51:25 EEST 2024","passed","Tue Aug 06 14:51:26 EEST 2024","Login page validations","e2e.spec.ts","",""
"","3562","Validate that Log Out button is visible","firefox","Tue Aug 06 14:51:32 EEST 2024","passed","Tue Aug 06 14:51:36 EEST 2024","Products page validations","e2e.spec.ts","",""
"","1136","QTY column in the cart is visible","webkit","Tue Aug 06 14:51:45 EEST 2024","passed","Tue Aug 06 14:51:46 EEST 2024","Cart Page Validations","e2e.spec.ts","",""
"","1145","Continue shopping button in the cart is visible","webkit","Tue Aug 06 14:51:45 EEST 2024","passed","Tue Aug 06 14:51:46 EEST 2024","Cart Page Validations","e2e.spec.ts","",""
"","929","Cart button is visible on product page","chromium","Tue Aug 06 14:51:27 EEST 2024","passed","Tue Aug 06 14:51:28 EEST 2024","Products page validations","e2e.spec.ts","",""
"","1075","Checkout button in the cart is visible","firefox","Tue Aug 06 14:51:36 EEST 2024","passed","Tue Aug 06 14:51:37 EEST 2024","Cart Page Validations","e2e.spec.ts","",""
"","2548","Product name is visible on product page","firefox","Tue Aug 06 14:51:33 EEST 2024","passed","Tue Aug 06 14:51:35 EEST 2024","Products page validations","e2e.spec.ts","",""
"","1160","After adding a product to the cart, the user will be able to see the number one on the cart icon","firefox","Tue Aug 06 14:51:37 EEST 2024","passed","Tue Aug 06 14:51:38 EEST 2024","E2E tests","e2e.spec.ts","",""
"","1476","Product price is visible on product page","firefox","Tue Aug 06 14:51:34 EEST 2024","passed","Tue Aug 06 14:51:35 EEST 2024","Products page validations","e2e.spec.ts","",""
