"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 13 14:24:19 GMT 2024","Tue Aug 13 14:24:20 GMT 2024","911","firefox","tests.spec.ts","Cart Page Validations","","","Description column in the cart is visible",""
"passed","Tue Aug 13 14:24:20 GMT 2024","Tue Aug 13 14:24:21 GMT 2024","897","firefox","tests.spec.ts","Cart Page Validations","","","Continue shopping button in the cart is visible",""
"passed","Tue Aug 13 14:24:31 GMT 2024","Tue Aug 13 14:24:31 GMT 2024","859","webkit","tests.spec.ts","E2E tests","","","User can login on the website",""
"passed","Tue Aug 13 14:24:09 GMT 2024","Tue Aug 13 14:24:10 GMT 2024","607","chromium","tests.spec.ts","Products page validations","","","Product price is visible on product page",""
"passed","Tue Aug 13 14:24:11 GMT 2024","Tue Aug 13 14:24:12 GMT 2024","612","chromium","tests.spec.ts","Cart Page Validations","","","Checkout button in the cart is visible",""
"passed","Tue Aug 13 14:24:12 GMT 2024","Tue Aug 13 14:24:12 GMT 2024","595","chromium","tests.spec.ts","E2E tests","","","After adding a product to the cart, the user will be able to see the number one on the cart icon",""
"passed","Tue Aug 13 14:24:29 GMT 2024","Tue Aug 13 14:24:29 GMT 2024","892","webkit","tests.spec.ts","Products page validations","","","Cart button is visible on product page",""
"passed","Tue Aug 13 14:24:24 GMT 2024","Tue Aug 13 14:24:25 GMT 2024","774","webkit","tests.spec.ts","Login page validations","","","Username field is visible",""
"passed","Tue Aug 13 14:24:17 GMT 2024","Tue Aug 13 14:24:17 GMT 2024","678","firefox","tests.spec.ts","Products page validations","","","Product name is visible on product page",""
"passed","Tue Aug 13 14:24:22 GMT 2024","Tue Aug 13 14:24:23 GMT 2024","1137","firefox","tests.spec.ts","E2E tests","","","User is able to choose a product and buy it",""
"passed","Tue Aug 13 14:24:24 GMT 2024","Tue Aug 13 14:24:25 GMT 2024","700","webkit","tests.spec.ts","Login page validations","","","Password field is visible",""
"passed","Tue Aug 13 14:24:29 GMT 2024","Tue Aug 13 14:24:30 GMT 2024","916","webkit","tests.spec.ts","Cart Page Validations","","","Description column in the cart is visible",""
"passed","Tue Aug 13 14:24:14 GMT 2024","Tue Aug 13 14:24:15 GMT 2024","1572","firefox","tests.spec.ts","Login page validations","","","Password field is visible",""
"passed","Tue Aug 13 14:24:16 GMT 2024","Tue Aug 13 14:24:18 GMT 2024","1841","firefox","tests.spec.ts","Products page validations","","","Validate that Log Out button is visible",""
"passed","Tue Aug 13 14:24:21 GMT 2024","Tue Aug 13 14:24:22 GMT 2024","762","firefox","tests.spec.ts","E2E tests","","","User can login on the website",""
"passed","Tue Aug 13 14:24:30 GMT 2024","Tue Aug 13 14:24:31 GMT 2024","920","webkit","tests.spec.ts","Cart Page Validations","","","Continue shopping button in the cart is visible",""
"passed","Tue Aug 13 14:24:08 GMT 2024","Tue Aug 13 14:24:08 GMT 2024","368","chromium","tests.spec.ts","Login page validations","","","Login button is visible",""
"passed","Tue Aug 13 14:24:09 GMT 2024","Tue Aug 13 14:24:09 GMT 2024","451","chromium","tests.spec.ts","Products page validations","","","Product name is visible on product page",""
"passed","Tue Aug 13 14:24:07 GMT 2024","Tue Aug 13 14:24:08 GMT 2024","440","chromium","tests.spec.ts","Login page validations","","","Username field is visible",""
